openalex_id,doi,titulo,ano,periodico,source_id,issn,url,acesso_aberto,autores,docentes_ppge,linhas
"https://openalex.org/W7171709323","10.5902/1984644489378","Entre cadernos e planilhas eletrônicas: diálogos no acampamento Capão das Antas","2026","Educação (UFSM)","https://openalex.org/S2738869710","0101-9031","https://doi.org/10.5902/1984644489378","aberto","Eric Gabriel Aguiar Maximiano; Jarina Rodrigues Fernandes; Izaura Naomi Yoshioka Martins","Jarina Rodrigues Fernandes","EETPC"
"https://openalex.org/W7165655401","10.63595/momento.v35i2.20967","EPISÓDIOS DECOLONIZADORES DA/NA EDUCAÇÃO E PESQUISA EM ESPAÇOS DE PRIVAÇÃO DE LIBERDADE","2026","Momento","https://openalex.org/S4210176317","0102-2717","https://doi.org/10.63595/momento.v35i2.20967","aberto","Elenice Maria Cammarosano Onofre","Elenice Maria Cammarosano Onofre","EPFH"
"https://openalex.org/W7159985689","10.20396/etd.v28i00.8677804","Formação continuada de professores dos anos iniciais em matemática","2026","ETD - Educação Temática Digital","https://openalex.org/S2737549463","1676-2592","https://doi.org/10.20396/etd.v28i00.8677804","aberto","Driele Brasil Vasconcelos; Fabiana Marini Braga","Fabiana Marini Braga","EETPC"
"https://openalex.org/W7165539340","10.1590/1980-6248-2025-0061pt","Formação política de ativistas e militantes nas Jornadas de 2013: experiências e subjetivação política","2026","Pro-Posições","https://openalex.org/S4210208850","0103-7307","https://doi.org/10.1590/1980-6248-2025-0061pt","aberto","Luís Antônio Groppo; Josefa Alexandrina da Silva; Lívia Furtado Borges; Emanoely Ladeira Sigiani; Gislene Silva; José Daniel Coutinho Silva; Joana Marins Vianna; Fernanda Milan de Carvalho; MH Santos","Luís Antonio Groppo","HFSE"
"https://openalex.org/W7167739770","10.21879/faeeba2358-0194.2025.v34.n80.p141-159","Imprensa Surda no CIEJA Perus I sob Olhar das(os) Educadoras (es) (2022-2025)","2026","Revista da FAEEBA- Educação e Contemporaneidade","https://openalex.org/S4210174506","0104-7043","https://doi.org/10.21879/faeeba2358-0194.2025.v34.n80.p141-159","aberto","Jarina Rodrigues Fernandes; Elana Simone Schiavo Caramano","Jarina Rodrigues Fernandes","EETPC"
"https://openalex.org/W7128360625","10.35355/revistafenix.v22i2.1511","influência do ideário neofascista na educação brasileira","2026","Fênix Revista de História e Estudos Culturais","https://openalex.org/S4210203488","1807-6971","https://doi.org/10.35355/revistafenix.v22i2.1511","aberto","Eric Gabriel de Aguiar Maximiano; Antonio Álvaro Soares ZUIN; Maria Cristina da Silveira Galan Fernandes","Maria Cristina da Silveira Galan Fernandes","EPFH"
"https://openalex.org/W7167977195","10.5212/praxeduc.v.21.26189.039","Inteligência artificial preditiva na gestão educacional paulista: os descaminhos recentes do gerencialismo na educação","2026","Praxis Educativa","https://openalex.org/S4210204466","1809-4031","https://doi.org/10.5212/praxeduc.v.21.26189.039","aberto","Géssica Priscila Ramos","Gessica Priscila Ramos","EPFH"
"https://openalex.org/W7168140780","10.35819/tear.v15.n1.a8171","Interseccionalidade de gênero e raça em narrativas de professoras da cidade de Imperatriz -MA","2026","#Tear Revista de Educação Ciência e Tecnologia","https://openalex.org/S2739379204","2238-8079","https://doi.org/10.35819/tear.v15.n1.a8171","aberto","Mayra Silva dos Santos; Andrea Braga Moruzzi","Andrea Braga Moruzzi","RED"
"https://openalex.org/W7163050764","10.69843/rir.v22iunico.77209","Inventibilidade dos conceitos educacionais","2026","Itinerarius Reflectionis","https://openalex.org/S2737048891","1679-2009","https://doi.org/10.69843/rir.v22iunico.77209","aberto","José Sílvio de Oliveira; Nilson Fernandes Dinis","Nilson Fernandes Dinis","ECS"
"https://openalex.org/W7171816184","10.24109/2176-6681.rbep.107.6639","Lideranças escolares no Brasil: construção, testagem e validação de um instrumento","2026","Revista Brasileira de Estudos Pedagógicos","https://openalex.org/S2737504546","0034-7183","https://doi.org/10.24109/2176-6681.rbep.107.6639","aberto","Renata Maria Moschen Nascente; Cynthia Paes de Carvalho","Renata Maria Moschen Nascente","EETPC"
"https://openalex.org/W7140188556","10.21577/0104-8899.20160501","Modelagem em Foco: articulando experimentação, tecnologia e conceitos de oxirredução no Ensino Médio","2026","Química Nova na Escola","https://openalex.org/S4210217831","0104-8899","https://doi.org/10.21577/0104-8899.20160501","aberto","Aline Samara Lima de Jesus; Ettore Paredes Antunes","Ettore Paredes Antunes","ECM"
